Date,Weekly Gulf Coast No 2 Diesel Retail Prices  (Dollars per Gallon),,
"Dec 14, 1998",0.945,,
"Dec 21, 1998",0.939,,
"Dec 28, 1998",0.938,,
"Jan 04, 1999",0.94,,
"Jan 11, 1999",0.941,,
"Jan 18, 1999",0.944,,
"Jan 25, 1999",0.935,,
"Feb 01, 1999",0.935,,
"Feb 08, 1999",0.939,,
"Feb 15, 1999",0.933,,
"Feb 22, 1999",0.928,,
"Mar 01, 1999",0.929,,
"Mar 08, 1999",0.929,,
"Mar 15, 1999",0.967,,
"Mar 22, 1999",0.985,,
"Mar 29, 1999",1.008,,
"Apr 05, 1999",1.036,,
"Apr 12, 1999",1.046,,
"Apr 19, 1999",1.045,,
"Apr 26, 1999",1.045,,
"May 03, 1999",1.043,,
"May 10, 1999",1.044,,
"May 17, 1999",1.039,,
"May 24, 1999",1.027,,
"May 31, 1999",1.027,,
"Jun 07, 1999",1.018,,
"Jun 14, 1999",1.023,,
"Jun 21, 1999",1.031,,
"Jun 28, 1999",1.038,,
"Jul 05, 1999",1.057,,
"Jul 12, 1999",1.073,,
"Jul 19, 1999",1.097,,
"Jul 26, 1999",1.101,,
"Aug 02, 1999",1.111,,
"Aug 09, 1999",1.113,,
"Aug 16, 1999",1.139,,
"Aug 23, 1999",1.142,,
"Aug 30, 1999",1.154,,
"Sep 06, 1999",1.163,,
"Sep 13, 1999",1.176,,
"Sep 20, 1999",1.193,,
"Sep 27, 1999",1.19,,
"Oct 04, 1999",1.197,,
"Oct 11, 1999",1.193,,
"Oct 18, 1999",1.184,,
"Oct 25, 1999",1.187,,
"Nov 01, 1999",1.188,,
"Nov 08, 1999",1.186,,
"Nov 15, 1999",1.214,,
"Nov 22, 1999",1.242,,
"Nov 29, 1999",1.262,,
"Dec 06, 1999",1.256,,
"Dec 13, 1999",1.255,,
"Dec 20, 1999",1.258,,
"Dec 27, 1999",1.257,,
"Jan 03, 2000",1.274,,
"Jan 10, 2000",1.276,,
"Jan 17, 2000",1.276,,
"Jan 24, 2000",1.382,,
"Jan 31, 2000",1.395,,
"Feb 07, 2000",1.397,,
"Feb 14, 2000",1.389,,
"Feb 21, 2000",1.393,,
"Feb 28, 2000",1.397,,
"Mar 06, 2000",1.434,,
"Mar 13, 2000",1.446,,
"Mar 20, 2000",1.421,,
"Mar 27, 2000",1.401,,
"Apr 03, 2000",1.387,,
"Apr 10, 2000",1.365,,
"Apr 17, 2000",1.354,,
"Apr 24, 2000",1.371,,
"May 01, 2000",1.368,,
"May 08, 2000",1.351,,
"May 15, 2000",1.361,,
"May 22, 2000",1.38,,
"May 29, 2000",1.383,,
"Jun 05, 2000",1.368,,
"Jun 12, 2000",1.359,,
"Jun 19, 2000",1.367,,
"Jun 26, 2000",1.379,,
"Jul 03, 2000",1.404,,
"Jul 10, 2000",1.402,,
"Jul 17, 2000",1.389,,
"Jul 24, 2000",1.38,,
"Jul 31, 2000",1.375,,
"Aug 07, 2000",1.374,,
"Aug 14, 2000",1.412,,
"Aug 21, 2000",1.433,,
"Aug 28, 2000",1.494,,
"Sep 04, 2000",1.56,,
"Sep 11, 2000",1.574,,
"Sep 18, 2000",1.602,,
"Sep 25, 2000",1.606,,
"Oct 02, 2000",1.57,,
"Oct 09, 2000",1.551,,
"Oct 16, 2000",1.612,,
"Oct 23, 2000",1.598,,
"Oct 30, 2000",1.57,,
"Nov 06, 2000",1.548,,
"Nov 13, 2000",1.554,,
"Nov 20, 2000",1.589,,
"Nov 27, 2000",1.603,,
"Dec 04, 2000",1.57,,
"Dec 11, 2000",1.515,,
"Dec 18, 2000",1.471,,
"Dec 25, 2000",1.428,,
"Jan 01, 2001",1.43,,
"Jan 08, 2001",1.437,,
"Jan 15, 2001",1.445,,
"Jan 22, 2001",1.474,,
"Jan 29, 2001",1.5,,
"Feb 05, 2001",1.472,,
"Feb 12, 2001",1.472,,
"Feb 19, 2001",1.428,,
"Feb 26, 2001",1.392,,
"Mar 05, 2001",1.367,,
"Mar 12, 2001",1.347,,
"Mar 19, 2001",1.329,,
"Mar 26, 2001",1.314,,
"Apr 02, 2001",1.32,,
"Apr 09, 2001",1.328,,
"Apr 16, 2001",1.367,,
"Apr 23, 2001",1.385,,
"Apr 30, 2001",1.39,,
"May 07, 2001",1.393,,
"May 14, 2001",1.41,,
"May 21, 2001",1.423,,
"May 28, 2001",1.453,,
"Jun 04, 2001",1.45,,
"Jun 11, 2001",1.434,,
"Jun 18, 2001",1.44,,
"Jun 25, 2001",1.409,,
"Jul 02, 2001",1.377,,
"Jul 09, 2001",1.362,,
"Jul 16, 2001",1.35,,
"Jul 23, 2001",1.32,,
"Jul 30, 2001",1.314,,
"Aug 06, 2001",1.306,,
"Aug 13, 2001",1.322,,
"Aug 20, 2001",1.34,,
"Aug 27, 2001",1.357,,
"Sep 03, 2001",1.402,,
"Sep 10, 2001",1.401,,
"Sep 17, 2001",1.449,,
"Sep 24, 2001",1.404,,
"Oct 01, 2001",1.326,,
"Oct 08, 2001",1.309,,
"Oct 15, 2001",1.285,,
"Oct 22, 2001",1.255,,
"Oct 29, 2001",1.247,,
"Nov 05, 2001",1.226,,
"Nov 12, 2001",1.212,,
"Nov 19, 2001",1.192,,
"Nov 26, 2001",1.164,,
"Dec 03, 2001",1.142,,
"Dec 10, 2001",1.129,,
"Dec 17, 2001",1.096,,
"Dec 24, 2001",1.113,,
"Dec 31, 2001",1.135,,
"Jan 07, 2002",1.135,,
"Jan 14, 2002",1.127,,
"Jan 21, 2002",1.111,,
"Jan 28, 2002",1.11,,
"Feb 04, 2002",1.112,,
"Feb 11, 2002",1.122,,
"Feb 18, 2002",1.126,,
"Feb 25, 2002",1.126,,
"Mar 04, 2002",1.144,,
"Mar 11, 2002",1.186,,
"Mar 18, 2002",1.218,,
"Mar 25, 2002",1.251,,
"Apr 01, 2002",1.261,,
"Apr 08, 2002",1.284,,
"Apr 15, 2002",1.278,,
"Apr 22, 2002",1.269,,
